wy3;46;12;Não conforme;;
wy3;47;12;Não aplicável;;
wy3;48;12;Tratativa;;
wy3;49;13;Conforme;;
wy3;50;13;Não conforme;;
wy3;51;13;Não aplicável;;
wy3;52;13;Tratativa;;
wy3;53;14;Conforme;;
wy3;54;14;Não conforme;;
wy3;55;14;Não aplicável;;
wy3;56;14;Tratativa;;
wy3;57;15;Conforme;;
wy3;58;15;Não conforme;;
wy3;59;15;Não aplicável;;
wy3;60;15;Tratativa;;
wy3;61;16;Conforme;;
wy3;62;16;Não conforme;;
wy3;63;16;Não aplicável;;
wy3;64;16;Tratativa;;
wy3;65;17;Conforme;;
wy3;66;17;Não conforme;;
wy3;67;17;Não aplicável;;
wy3;68;17;Tratativa;;
wy3;69;18;Conforme;;
wy3;70;18;Não conforme;;
wy3;71;18;Não aplicável;;
wy3;72;18;Tratativa;;
wy3;73;19;Conforme;;
wy3;74;19;Não conforme;;
wy3;75;19;Não aplicável;;
wy3;76;19;Tratativa;;
wy3;77;20;Conforme;;
wy3;78;20;Não conforme;;
wy3;79;20;Não aplicável;;
wy3;80;20;Tratativa;;
wy3;81;21;Conforme;;
wy3;82;21;Não conforme;;
wy3;83;21;Não aplicável;;
wy3;84;21;Tratativa;;
wy3;85;22;Conforme;;
wy3;86;22;Não conforme;;
wy3;87;22;Não aplicável;;
wy3;88;22;Tratativa;;
wy3;89;23;Conforme;;
wy3;90;23;Não conforme;;
wy3;91;23;Não aplicável;;
wy3;92;23;Tratativa;;
wy3;93;24;Conforme;;
wy3;94;24;Não conforme;;
wy3;95;24;Não aplicável;;
wy3;96;24;Tratativa;;
wy3;97;25;Conforme;;
wy3;98;25;Não conforme;;
wy3;99;25;Não aplicável;;
wy3;100;25;Tratativa;;
wy3;101;26;Conforme;;
wy3;102;26;Não conforme;;
wy3;103;26;Não aplicável;;
wy3;104;26;Tratativa;;
wy3;105;27;Conforme;;
wy3;106;27;Não conforme;;
wy3;107;27;Não aplicável;;
wy3;108;27;Tratativa;;
wy3;109;28;Conforme;;
wy3;110;28;Não conforme;;
wy3;111;28;Não aplicável;;
wy3;112;28;Tratativa;;
wy3;113;29;Conforme;;
wy3;114;29;Não conforme;;
wy3;115;29;Não aplicável;;
wy3;116;29;Tratativa;;
wy3;117;30;Conforme;;
wy3;118;30;Não conforme;;
wy3;119;30;Não aplicável;;
wy3;120;30;Tratativa;;
wy3;121;31;Conforme;;
wy3;122;31;Não conforme;;
wy3;123;31;Não aplicável;;
wy3;124;31;Tratativa;;
wy3;125;32;Conforme;;
wy3;126;32;Não conforme;;
wy3;127;32;Não aplicável;;
wy3;128;32;Tratativa;;
wy3;129;33;Conforme;;
wy3;130;33;Não conforme;;
wy3;131;33;Não aplicável;;
wy3;132;33;Tratativa;;
wy3;133;34;Conforme;;
wy3;134;34;Não conforme;;
wy3;135;34;Não aplicável;;
wy3;136;34;Tratativa;;
wy3;137;35;Conforme;;
wy3;138;35;Não conforme;;
wy3;139;35;Não aplicável;;
wy3;140;35;Tratativa;;
wy3;141;36;Conforme;;
wy3;142;36;Não conforme;;
wy3;143;36;Não aplicável;;
wy3;144;36;Tratativa;;
wy3;145;37;Conforme;;
wy3;146;37;Não conforme;;
wy3;147;37;Não aplicável;;
wy3;148;37;Tratativa;;
wy3;149;38;Conforme;;
wy3;150;38;Não conforme;;
wy3;151;38;Não aplicável;;
wy3;152;38;Tratativa;;
wy3;153;39;Conforme;;
wy3;154;39;Não conforme;;
wy3;155;39;Não aplicável;;
wy3;156;39;Tratativa;;
wy3;157;40;Conforme;;
wy3;158;40;Não conforme;;
wy3;159;40;Não aplicável;;
wy3;160;40;Tratativa;;
wy6;0;0;0;0;MAN9090;0;;;NAO INFORMADO;NAO INFORMADO;NAO INFORMADO;
wy4;1;Inciar Atividade;0;0;1;0;0;0;0;0;
wy4;3;DDS;0;0;0;0;0;0;0;0;
wy4;4;Reposição de Material;0;0;0;0;0;0;0;0;
wy4;5;Abastecimento;0;0;0;0;0;0;1;1;
wy4;6;Instrução;0;0;0;0;0;0;0;0;
wy4;7;Espera de Manobra;0;0;0;0;0;0;0;0;
wy4;8;Defeito no Veículo;0;0;0;0;0;0;1;1;
wy4;9;Almoço;0;0;0;0;0;0;1;1;
wy4;10;Apoio a outra equipe;0;0;0;0;0;0;1;1;
wy4;11;Assunto Pessoal;0;0;0;0;0;0;1;1;
wy4;12;Reunião;0;0;0;0;0;0;0;0;
wy4;14;Fim Atividade;0;1;0;1;0;0;0;0;
